"module name","name","version","description","licenses","licenseFile","licenseModified"
"@emotion/cache@11.10.5","@emotion/cache","11.10.5","emotion's cache","MIT","node_modules/@emotion/cache/LICENSE",""
"@emotion/hash@0.9.0","@emotion/hash","0.9.0","A MurmurHash2 implementation","MIT","node_modules/@emotion/hash/LICENSE",""
"@emotion/is-prop-valid@1.2.0","@emotion/is-prop-valid","1.2.0","A function to check whether a prop is valid for HTML and SVG elements","MIT","node_modules/@emotion/is-prop-valid/LICENSE",""
"@emotion/memoize@0.8.0","@emotion/memoize","0.8.0","emotion's memoize utility","MIT","node_modules/@emotion/memoize/LICENSE",""
"@emotion/react@11.10.5","@emotion/react","11.10.5","> Simple styling in React.","MIT","node_modules/@emotion/react/LICENSE",""
"@emotion/serialize@1.1.1","@emotion/serialize","1.1.1","serialization utils for emotion","MIT","node_modules/@emotion/serialize/LICENSE",""
"@emotion/sheet@1.2.1","@emotion/sheet","1.2.1","emotion's stylesheet","MIT","node_modules/@emotion/sheet/LICENSE",""
"@emotion/styled@11.10.5","@emotion/styled","11.10.5","styled API for emotion","MIT","node_modules/@emotion/styled/LICENSE",""
"@emotion/unitless@0.8.0","@emotion/unitless","0.8.0","An object of css properties that don't accept values with units","MIT","node_modules/@emotion/unitless/LICENSE",""
"@emotion/use-insertion-effect-with-fallbacks@1.0.0","@emotion/use-insertion-effect-with-fallbacks","1.0.0","A wrapper package that uses `useInsertionEffect` or a fallback for it","MIT","node_modules/@emotion/use-insertion-effect-with-fallbacks/LICENSE",""
"@emotion/utils@1.2.0","@emotion/utils","1.2.0","internal utils for emotion","MIT","node_modules/@emotion/utils/LICENSE",""
"@emotion/weak-memoize@0.3.0","@emotion/weak-memoize","0.3.0","A memoization function that uses a WeakMap","MIT","node_modules/@emotion/weak-memoize/LICENSE",""
"@ioredis/commands@1.2.0","@ioredis/commands","1.2.0","Redis commands","MIT","node_modules/@ioredis/commands/LICENSE",""
"@jridgewell/resolve-uri@3.1.0","@jridgewell/resolve-uri","3.1.0","Resolve a URI relative to an optional base URI","MIT","node_modules/@jridgewell/resolve-uri/LICENSE",""
"@jridgewell/sourcemap-codec@1.4.14","@jridgewell/sourcemap-codec","1.4.14","Encode/decode sourcemap mappings","MIT","node_modules/@jridgewell/sourcemap-codec/LICENSE",""
"@jridgewell/trace-mapping@0.3.9","@jridgewell/trace-mapping","0.3.9","Trace the original position through a source map","MIT","node_modules/@jridgewell/trace-mapping/LICENSE",""
"@mui/base@5.0.0-alpha.112","@mui/base","5.0.0-alpha.112","A library of headless ('unstyled') React UI components and low-level hooks.","MIT","node_modules/@mui/base/LICENSE",""
"@mui/core-downloads-tracker@5.11.2","@mui/core-downloads-tracker","5.11.2","Internal package to track number of downloads of our design system libraries","MIT","node_modules/@mui/core-downloads-tracker/LICENSE",""
"@mui/icons-material@5.11.0","@mui/icons-material","5.11.0","Material Design icons distributed as SVG React components.","MIT","node_modules/@mui/icons-material/LICENSE",""
"@mui/lab@5.0.0-alpha.114","@mui/lab","5.0.0-alpha.114","Laboratory for new MUI modules.","MIT","node_modules/@mui/lab/LICENSE",""
"@mui/material@5.11.2","@mui/material","5.11.2","React components that implement Google's Material Design.","MIT","node_modules/@mui/material/LICENSE",""
"@mui/private-theming@5.11.2","@mui/private-theming","5.11.2","Private - The React theme context to be shared between `@mui/styles` and `@mui/material`.","MIT","node_modules/@mui/private-theming/LICENSE",""
"@mui/styled-engine@5.11.0","@mui/styled-engine","5.11.0","styled() API wrapper package for emotion.","MIT","node_modules/@mui/styled-engine/LICENSE",""
"@mui/system@5.11.2","@mui/system","5.11.2","CSS utilities for rapidly laying out custom designs.","MIT","node_modules/@mui/system/LICENSE",""
"@mui/types@7.2.3","@mui/types","7.2.3","Utility types for MUI.","MIT","node_modules/@mui/types/LICENSE",""
"@mui/utils@5.11.2","@mui/utils","5.11.2","Utility functions for React components.","MIT","node_modules/@mui/utils/LICENSE",""
"@mui/x-date-pickers@5.0.12","@mui/x-date-pickers","5.0.12","The community edition of the date picker components (MUI X).","MIT","node_modules/@mui/x-date-pickers/LICENSE",""
"@next/env@13.0.6","@next/env","13.0.6","Next.js dotenv file loading","MIT","node_modules/@next/env/README.md",""
"@next/swc-darwin-arm64@13.0.6","@next/swc-darwin-arm64","13.0.6","This is the **aarch64-apple-darwin** binary for `@next/swc`","MIT","node_modules/@next/swc-darwin-arm64/README.md",""
"@nodelib/fs.scandir@2.1.5","@nodelib/fs.scandir","2.1.5","List files and directories inside the specified directory","MIT","node_modules/@nodelib/fs.scandir/LICENSE",""
"@nodelib/fs.stat@2.0.5","@nodelib/fs.stat","2.0.5","Get the status of a file with some features","MIT","node_modules/@nodelib/fs.stat/LICENSE",""
"@nodelib/fs.walk@1.2.8","@nodelib/fs.walk","1.2.8","A library for efficiently walking a directory recursively","MIT","node_modules/@nodelib/fs.walk/LICENSE",""
"@popperjs/core@2.11.6","@popperjs/core","2.11.6","Tooltip and Popover Positioning Engine","MIT","node_modules/@popperjs/core/LICENSE.md",""
"@remix-run/router@1.0.5","@remix-run/router","1.0.5","Nested/Data-driven/Framework-agnostic Routing","MIT","node_modules/@remix-run/router/LICENSE.md",""
"@swc/helpers@0.4.14","@swc/helpers","0.4.14","External helpers for the swc project.","MIT","",""
"@tsconfig/node10@1.0.9","@tsconfig/node10","1.0.9","A base TSConfig for working with Node 10.","MIT","node_modules/@tsconfig/node10/LICENSE",""
"@tsconfig/node12@1.0.11","@tsconfig/node12","1.0.11","A base TSConfig for working with Node 12.","MIT","node_modules/@tsconfig/node12/LICENSE",""
"@tsconfig/node14@1.0.3","@tsconfig/node14","1.0.3","A base TSConfig for working with Node 14.","MIT","node_modules/@tsconfig/node14/LICENSE",""
"@tsconfig/node16@1.0.3","@tsconfig/node16","1.0.3","A base TSConfig for working with Node 16.","MIT","node_modules/@tsconfig/node16/LICENSE",""
"@types/axios@0.14.0","@types/axios","0.14.0","Stub TypeScript definitions entry for axios, which provides its own types definitions","MIT","node_modules/@types/axios/README.md",""
"@types/bcryptjs@2.4.2","@types/bcryptjs","2.4.2","TypeScript definitions for bcryptjs","MIT","node_modules/@types/bcryptjs/LICENSE",""
"@types/body-parser@1.19.2","@types/body-parser","1.19.2","TypeScript definitions for body-parser","MIT","node_modules/@types/body-parser/LICENSE",""
"@types/connect@3.4.35","@types/connect","3.4.35","TypeScript definitions for connect","MIT","node_modules/@types/connect/LICENSE",""
"@types/cors@2.8.13","@types/cors","2.8.13","TypeScript definitions for cors","MIT","node_modules/@types/cors/LICENSE",""
"@types/cryptr@4.0.1","@types/cryptr","4.0.1","TypeScript definitions for cryptr","MIT","node_modules/@types/cryptr/LICENSE",""
"@types/express-list-endpoints@6.0.0","@types/express-list-endpoints","6.0.0","TypeScript definitions for express-list-endpoints","MIT","node_modules/@types/express-list-endpoints/LICENSE",""
"@types/express-serve-static-core@4.17.31","@types/express-serve-static-core","4.17.31","TypeScript definitions for Express","MIT","node_modules/@types/express-serve-static-core/LICENSE",""
"@types/express-session@1.17.5","@types/express-session","1.17.5","TypeScript definitions for express-session","MIT","node_modules/@types/express-session/LICENSE",""
"@types/express@4.17.15","@types/express","4.17.15","TypeScript definitions for Express","MIT","node_modules/@types/express/LICENSE",""
"@types/history@4.7.11","@types/history","4.7.11","TypeScript definitions for history","MIT","node_modules/@types/history/LICENSE",""
"@types/mime@3.0.1","@types/mime","3.0.1","TypeScript definitions for mime","MIT","node_modules/@types/mime/LICENSE",""
"@types/mssql@8.1.1","@types/mssql","8.1.1","TypeScript definitions for mssql","MIT","node_modules/@types/mssql/LICENSE",""
"@types/nano@7.0.0","@types/nano","7.0.0","Stub TypeScript definitions entry for nano, which provides its own types definitions","MIT","node_modules/@types/nano/LICENSE",""
"@types/node@18.11.15","@types/node","18.11.15","TypeScript definitions for Node.js","MIT","node_modules/@types/node/LICENSE",""
"@types/nodemailer@6.4.7","@types/nodemailer","6.4.7","TypeScript definitions for Nodemailer","MIT","node_modules/@types/nodemailer/LICENSE",""
"@types/parse-json@4.0.0","@types/parse-json","4.0.0","TypeScript definitions for parse-json","MIT","node_modules/@types/parse-json/LICENSE",""
"@types/passport-http@0.3.9","@types/passport-http","0.3.9","TypeScript definitions for passport-http","MIT","node_modules/@types/passport-http/LICENSE",""
"@types/passport-local@1.0.34","@types/passport-local","1.0.34","TypeScript definitions for passport-local","MIT","node_modules/@types/passport-local/LICENSE",""
"@types/passport-strategy@0.2.35","@types/passport-strategy","0.2.35","TypeScript definitions for Passport Strategy module","MIT","node_modules/@types/passport-strategy/LICENSE",""
"@types/passport@1.0.11","@types/passport","1.0.11","TypeScript definitions for Passport","MIT","node_modules/@types/passport/LICENSE",""
"@types/prop-types@15.7.5","@types/prop-types","15.7.5","TypeScript definitions for prop-types","MIT","node_modules/@types/prop-types/LICENSE",""
"@types/qs@6.9.7","@types/qs","6.9.7","TypeScript definitions for qs","MIT","node_modules/@types/qs/LICENSE",""
"@types/range-parser@1.2.4","@types/range-parser","1.2.4","TypeScript definitions for range-parser","MIT","node_modules/@types/range-parser/LICENSE",""
"@types/react-dom@18.0.9","@types/react-dom","18.0.9","TypeScript definitions for React (react-dom)","MIT","node_modules/@types/react-dom/LICENSE",""
"@types/react-is@17.0.3","@types/react-is","17.0.3","TypeScript definitions for react-is","MIT","node_modules/@types/react-is/LICENSE",""
"@types/react-router-dom@5.3.3","@types/react-router-dom","5.3.3","TypeScript definitions for react-router-dom","MIT","node_modules/@types/react-router-dom/LICENSE",""
"@types/react-router@5.1.19","@types/react-router","5.1.19","TypeScript definitions for React Router","MIT","node_modules/@types/react-router/LICENSE",""
"@types/react-transition-group@4.4.5","@types/react-transition-group","4.4.5","TypeScript definitions for react-transition-group","MIT","node_modules/@types/react-transition-group/LICENSE",""
"@types/react@18.0.26","@types/react","18.0.26","TypeScript definitions for React","MIT","node_modules/@types/react/LICENSE",""
"@types/scheduler@0.16.2","@types/scheduler","0.16.2","TypeScript definitions for scheduler","MIT","node_modules/@types/scheduler/LICENSE",""
"@types/serve-static@1.15.0","@types/serve-static","1.15.0","TypeScript definitions for serve-static","MIT","node_modules/@types/serve-static/LICENSE",""
"@types/swagger-jsdoc@6.0.1","@types/swagger-jsdoc","6.0.1","TypeScript definitions for swagger-jsdoc","MIT","node_modules/@types/swagger-jsdoc/LICENSE",""
"@types/swagger-ui-express@4.1.3","@types/swagger-ui-express","4.1.3","TypeScript definitions for swagger-ui-express","MIT","node_modules/@types/swagger-ui-express/LICENSE",""
"@types/tedious@4.0.9","@types/tedious","4.0.9","TypeScript definitions for tedious","MIT","node_modules/@types/tedious/LICENSE",""
"@types/tough-cookie@4.0.2","@types/tough-cookie","4.0.2","TypeScript definitions for tough-cookie","MIT","node_modules/@types/tough-cookie/LICENSE",""
"@types/uuid@8.3.4","@types/uuid","8.3.4","TypeScript definitions for uuid","MIT","node_modules/clm-core/node_modules/@types/uuid/LICENSE",""
"@types/uuid@9.0.0","@types/uuid","9.0.0","TypeScript definitions for uuid","MIT","node_modules/@types/uuid/LICENSE",""
"abbrev@1.1.1","abbrev","1.1.1","Like ruby's abbrev module, but in js","ISC","node_modules/abbrev/LICENSE",""
"accepts@1.3.8","accepts","1.3.8","Higher-level content negotiation","MIT","node_modules/accepts/LICENSE",""
"acorn-node@1.8.2","acorn-node","1.8.2","the acorn javascript parser, preloaded with plugins for syntax parity with recent node versions","Apache-2.0","node_modules/acorn-node/LICENSE.md",""
"acorn-walk@7.2.0","acorn-walk","7.2.0","ECMAScript (ESTree) AST walker","MIT","node_modules/acorn-walk/LICENSE",""
"acorn-walk@8.2.0","acorn-walk","8.2.0","ECMAScript (ESTree) AST walker","MIT","node_modules/ts-node/node_modules/acorn-walk/LICENSE",""
"acorn@7.4.1","acorn","7.4.1","ECMAScript parser","MIT","node_modules/acorn/LICENSE",""
"acorn@8.8.1","acorn","8.8.1","ECMAScript parser","MIT","node_modules/ts-node/node_modules/acorn/LICENSE",""
"agent-base@6.0.2","agent-base","6.0.2","Turn a function into an `http.Agent` instance","MIT","node_modules/agent-base/README.md",""
"ajv-formats@2.1.1","ajv-formats","2.1.1","Format validation for Ajv v7+","MIT","node_modules/ajv-formats/LICENSE",""
"ajv@8.11.2","ajv","8.11.2","Another JSON Schema Validator","MIT","node_modules/ajv/LICENSE",""
"ansi-styles@3.2.1","ansi-styles","3.2.1","ANSI escape codes for styling strings in the terminal","MIT","node_modules/ansi-styles/license",""
"anymatch@3.1.3","anymatch","3.1.3","Matches strings against configurable strings, globs, regular expressions, and/or functions","ISC","node_modules/anymatch/LICENSE",""
"arg@4.1.3","arg","4.1.3","Another simple argument parser","MIT","node_modules/ts-node/node_modules/arg/LICENSE.md",""
"arg@5.0.2","arg","5.0.2","Unopinionated, no-frills CLI argument parser","MIT","node_modules/arg/LICENSE.md",""
"argparse@1.0.10","argparse","1.0.10","Very powerful CLI arguments parser. Native port of argparse - python's options parsing library","MIT","node_modules/yamljs/node_modules/argparse/LICENSE",""
"argparse@2.0.1","argparse","2.0.1","CLI arguments parser. Native port of python's argparse.","Python-2.0","node_modules/argparse/LICENSE",""
"array-find-index@1.0.2","array-find-index","1.0.2","ES2015 `Array#findIndex()` ponyfill","MIT","node_modules/array-find-index/license",""
"array-flatten@1.1.1","array-flatten","1.1.1","Flatten an array of nested arrays into a single flat array","MIT","node_modules/array-flatten/LICENSE",""
"asap@2.0.6","asap","2.0.6","High-priority task queue for Node.js and browsers","MIT","node_modules/asap/LICENSE.md",""
"assert-never@1.2.1","assert-never","1.2.1","Helper function for exhaustive checks of discriminated unions in TypeScript","MIT","node_modules/assert-never/README.md",""
"asynckit@0.4.0","asynckit","0.4.0","Minimal async jobs utility library, with streams support","MIT","node_modules/asynckit/LICENSE",""
"autoprefixer@10.4.13","autoprefixer","10.4.13","Parse CSS and add vendor prefixes to CSS rules using values from the Can I Use website","MIT","node_modules/autoprefixer/LICENSE",""
"axios@1.2.1","axios","1.2.1","Promise based HTTP client for the browser and node.js","MIT","node_modules/axios/LICENSE",""
"axios@1.2.2","axios","1.2.2","Promise based HTTP client for the browser and node.js","MIT","node_modules/license_manager/node_modules/axios/LICENSE",""
"babel-plugin-macros@3.1.0","babel-plugin-macros","3.1.0","Allows you to build compile-time libraries","MIT","node_modules/babel-plugin-macros/LICENSE",""
"babel-walk@3.0.0-canary-5","babel-walk","3.0.0-canary-5","Lightweight Babel AST traversal","MIT","node_modules/babel-walk/LICENSE.md",""
"balanced-match@1.0.2","balanced-match","1.0.2","Match balanced character pairs, like "{" and "}"","MIT","node_modules/balanced-match/LICENSE.md",""
"base64-js@1.5.1","base64-js","1.5.1","Base64 encoding/decoding in pure JS","MIT","node_modules/base64-js/LICENSE",""
"bcryptjs@2.4.3","bcryptjs","2.4.3","Optimized bcrypt in plain JavaScript with zero dependencies. Compatible to 'bcrypt'.","MIT","node_modules/bcryptjs/LICENSE",""
"binary-extensions@2.2.0","binary-extensions","2.2.0","List of binary file extensions","MIT","node_modules/binary-extensions/license",""
"body-parser@1.20.1","body-parser","1.20.1","Node.js body parsing middleware","MIT","node_modules/body-parser/LICENSE",""
"brace-expansion@1.1.11","brace-expansion","1.1.11","Brace expansion as known from sh/bash","MIT","node_modules/brace-expansion/LICENSE",""
"braces@3.0.2","braces","3.0.2","Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed.","MIT","node_modules/braces/LICENSE",""
"browserslist@4.21.4","browserslist","4.21.4","Share target browsers between different front-end tools, like Autoprefixer, Stylelint and babel-env-preset","MIT","node_modules/browserslist/LICENSE",""
"buffer-equal-constant-time@1.0.1","buffer-equal-constant-time","1.0.1","Constant-time comparison of Buffers","BSD-3-Clause","node_modules/buffer-equal-constant-time/LICENSE.txt",""
"buffer@6.0.3","buffer","6.0.3","Node.js Buffer API, for the browser","MIT","node_modules/buffer/LICENSE",""
"bytes@3.1.2","bytes","3.1.2","Utility to parse a string bytes to bytes and vice-versa","MIT","node_modules/bytes/LICENSE",""
"call-bind@1.0.2","call-bind","1.0.2","Robustly `.call.bind()` a function","MIT","node_modules/call-bind/LICENSE",""
"callsites@3.1.0","callsites","3.1.0","Get callsites from the V8 stack trace API","MIT","node_modules/callsites/license",""
"camelcase-css@2.0.1","camelcase-css","2.0.1","Convert a kebab-cased CSS property into a camelCased DOM property.","MIT","node_modules/camelcase-css/license",""
"caniuse-lite@1.0.30001439","caniuse-lite","1.0.30001439","A smaller version of caniuse-db, with only the essentials!","CC-BY-4.0","node_modules/caniuse-lite/LICENSE",""
"chalk@2.4.2","chalk","2.4.2","Terminal string styling done right","MIT","node_modules/chalk/license",""
"character-parser@2.2.0","character-parser","2.2.0","Parse JavaScript one character at a time to look for snippets in Templates.  This is not a validator, it's just designed to allow you to have sections of JavaScript delimited by brackets robustly.","MIT","node_modules/character-parser/LICENSE",""
"chokidar@3.5.3","chokidar","3.5.3","Minimal and efficient cross-platform file watching library","MIT","node_modules/chokidar/LICENSE",""
"client-only@0.0.1","client-only","0.0.1","This is a marker package to indicate that a module can only be used in Client Components.","MIT","",""
"clm-core@1.0.0","clm-core","1.0.0","## Requirements - MariaDB  - Node.js 14","ISC","node_modules/clm-core/readme.md",""
"clsx@1.2.1","clsx","1.2.1","A tiny (228B) utility for constructing className strings conditionally.","MIT","node_modules/clsx/license",""
"cluster-key-slot@1.1.2","cluster-key-slot","1.1.2","Generates CRC hashes for strings - for use by node redis clients to determine key slots.","Apache-2.0","node_modules/cluster-key-slot/LICENSE",""
"color-convert@1.9.3","color-convert","1.9.3","Plain color conversion functions","MIT","node_modules/color-convert/LICENSE",""
"color-name@1.1.3","color-name","1.1.3","A list of color names and its values","MIT","node_modules/color-convert/node_modules/color-name/LICENSE",""
"color-name@1.1.4","color-name","1.1.4","A list of color names and its values","MIT","node_modules/color-name/LICENSE",""
"combined-stream@1.0.8","combined-stream","1.0.8","A stream that emits multiple other streams one after another.","MIT","node_modules/combined-stream/License",""
"concat-map@0.0.1","concat-map","0.0.1","concatenative mapdashery","MIT","node_modules/concat-map/LICENSE",""
"constantinople@4.0.1","constantinople","4.0.1","Determine whether a JavaScript expression evaluates to a constant","MIT","node_modules/constantinople/LICENSE",""
"content-disposition@0.5.4","content-disposition","0.5.4","Create and parse Content-Disposition header","MIT","node_modules/content-disposition/LICENSE",""
"content-type@1.0.4","content-type","1.0.4","Create and parse HTTP Content-Type header","MIT","node_modules/content-type/LICENSE",""
"convert-source-map@1.9.0","convert-source-map","1.9.0","Converts a source-map from/to  different formats and allows adding/changing properties.","MIT","node_modules/convert-source-map/LICENSE",""
"cookie-signature@1.0.6","cookie-signature","1.0.6","Sign and unsign cookies","MIT","node_modules/cookie-signature/Readme.md",""
"cookie@0.4.2","cookie","0.4.2","HTTP server cookie parsing and serialization","MIT","node_modules/express-session/node_modules/cookie/LICENSE",""
"cookie@0.5.0","cookie","0.5.0","HTTP server cookie parsing and serialization","MIT","node_modules/cookie/LICENSE",""
"core-js-pure@3.27.1","core-js-pure","3.27.1","Standard library","MIT","node_modules/core-js-pure/LICENSE",""
"cors@2.8.5","cors","2.8.5","Node.js CORS middleware","MIT","node_modules/cors/LICENSE",""
"cosmiconfig@7.1.0","cosmiconfig","7.1.0","Find and load configuration from a package.json property, rc file, or CommonJS module","MIT","node_modules/cosmiconfig/LICENSE",""
"create-require@1.1.1","create-require","1.1.1","Polyfill for Node.js module.createRequire (<= v12.2.0)","MIT","node_modules/create-require/LICENSE",""
"cross-fetch@3.1.5","cross-fetch","3.1.5","Universal WHATWG Fetch API for Node, Browsers and React Native","MIT","node_modules/cross-fetch/LICENSE",""
"cryptr@6.0.3","cryptr","6.0.3","a simple encrypt and decrypt module for node.js","MIT","node_modules/cryptr/LICENCE",""
"cssesc@3.0.0","cssesc","3.0.0","A JavaScript library for escaping CSS strings and identifiers while generating the shortest possible ASCII-only output.","MIT","node_modules/cssesc/LICENSE-MIT.txt",""
"csstype@3.1.1","csstype","3.1.1","Strict TypeScript and Flow types for style based on MDN data","MIT","node_modules/csstype/LICENSE",""
"debug@2.6.9","debug","2.6.9","small debugging utility","MIT","node_modules/debug/LICENSE",""
"debug@3.2.7","debug","3.2.7","small debugging utility","MIT","node_modules/nodemon/node_modules/debug/LICENSE",""
"debug@4.3.4","debug","4.3.4","Lightweight debugging utility for Node.js and the browser","MIT","node_modules/agent-base/node_modules/debug/LICENSE",""
"debuglog@1.0.1","debuglog","1.0.1","backport of util.debuglog from node v0.11","MIT","node_modules/debuglog/LICENSE",""
"deepmerge@4.2.2","deepmerge","4.2.2","A library for deep (recursive) merging of Javascript objects","MIT","node_modules/deepmerge/license.txt",""
"defined@1.0.1","defined","1.0.1","return the first argument that is `!== undefined`","MIT","node_modules/defined/LICENSE",""
"delayed-stream@1.0.0","delayed-stream","1.0.0","Buffers events from a stream until you are ready to handle them.","MIT","node_modules/delayed-stream/License",""
"denque@2.1.0","denque","2.1.0","The fastest javascript implementation of a double-ended queue. Used by the official Redis, MongoDB, MariaDB & MySQL libraries for Node.js and many other libraries. Maintains compatability with deque.","Apache-2.0","node_modules/denque/LICENSE",""
"depd@2.0.0","depd","2.0.0","Deprecate all the things","MIT","node_modules/depd/LICENSE",""
"destroy@1.2.0","destroy","1.2.0","destroy a stream if possible","MIT","node_modules/destroy/LICENSE",""
"detective@5.2.1","detective","5.2.1","find all require() calls by walking the AST","MIT","node_modules/detective/LICENSE",""
"dezalgo@1.0.4","dezalgo","1.0.4","Contain async insanity so that the dark pony lord doesn't eat souls","ISC","node_modules/dezalgo/LICENSE",""
"didyoumean@1.2.2","didyoumean","1.2.2","Match human-quality input to potential matches by edit distance.","Apache-2.0","node_modules/didyoumean/LICENSE",""
"diff@4.0.2","diff","4.0.2","A javascript text diff implementation.","BSD-3-Clause","node_modules/diff/LICENSE",""
"dlv@1.1.3","dlv","1.1.3","Safely get a dot-notated property within an object.","MIT","node_modules/dlv/README.md",""
"doctypes@1.1.0","doctypes","1.1.0","Shorthands for commonly used doctypes","MIT","node_modules/doctypes/LICENSE",""
"dom-helpers@5.2.1","dom-helpers","5.2.1","tiny modular DOM lib for ie9+","MIT","node_modules/dom-helpers/LICENSE",""
"dotenv@16.0.3","dotenv","16.0.3","Loads environment variables from .env file","BSD-2-Clause","node_modules/dotenv/LICENSE",""
"ecdsa-sig-formatter@1.0.11","ecdsa-sig-formatter","1.0.11","Translate ECDSA signatures between ASN.1/DER and JOSE-style concatenation","Apache-2.0","node_modules/ecdsa-sig-formatter/LICENSE",""
"ee-first@1.1.1","ee-first","1.1.1","return the first event in a set of ee/event pairs","MIT","node_modules/ee-first/LICENSE",""
"electron-to-chromium@1.4.284","electron-to-chromium","1.4.284","Provides a list of electron-to-chromium version mappings","ISC","node_modules/electron-to-chromium/LICENSE",""
"encodeurl@1.0.2","encodeurl","1.0.2","Encode a URL to a percent-encoded form, excluding already-encoded sequences","MIT","node_modules/encodeurl/LICENSE",""
"error-ex@1.3.2","error-ex","1.3.2","Easy error subclassing and stack customization","MIT","node_modules/error-ex/LICENSE",""
"escalade@3.1.1","escalade","3.1.1","A tiny (183B to 210B) and fast utility to ascend parent directories","MIT","node_modules/escalade/license",""
"escape-html@1.0.3","escape-html","1.0.3","Escape string for use in HTML","MIT","node_modules/escape-html/LICENSE",""
"escape-string-regexp@1.0.5","escape-string-regexp","1.0.5","Escape RegExp special characters","MIT","node_modules/chalk/node_modules/escape-string-regexp/license",""
"escape-string-regexp@4.0.0","escape-string-regexp","4.0.0","Escape RegExp special characters","MIT","node_modules/escape-string-regexp/license",""
"etag@1.8.1","etag","1.8.1","Create simple HTTP ETags","MIT","node_modules/etag/LICENSE",""
"express-list-endpoints@6.0.0","express-list-endpoints","6.0.0","A express package to list all registered endoints and its verbs","MIT","node_modules/express-list-endpoints/LICENSE",""
"express-session@1.17.3","express-session","1.17.3","Simple session middleware for Express","MIT","node_modules/express-session/LICENSE",""
"express-validator@6.14.2","express-validator","6.14.2","Express middleware for the validator module.","MIT","node_modules/express-validator/LICENSE",""
"express@4.18.2","express","4.18.2","Fast, unopinionated, minimalist web framework","MIT","node_modules/express/LICENSE",""
"fast-deep-equal@3.1.3","fast-deep-equal","3.1.3","Fast deep equal","MIT","node_modules/fast-deep-equal/LICENSE",""
"fast-glob@3.2.12","fast-glob","3.2.12","It's a very fast and efficient glob library for Node.js","MIT","node_modules/fast-glob/LICENSE",""
"fast-json-patch@3.1.1","fast-json-patch","3.1.1","Fast implementation of JSON-Patch (RFC-6902) with duplex (observe changes) capabilities","MIT","node_modules/fast-json-patch/LICENSE.txt",""
"fastq@1.14.0","fastq","1.14.0","Fast, in memory work queue","ISC","node_modules/fastq/LICENSE",""
"fill-range@7.0.1","fill-range","7.0.1","Fill in a range of numbers or letters, optionally passing an increment or `step` to use, or create a regex-compatible range with `options.toRegex`","MIT","node_modules/fill-range/LICENSE",""
